상호명,지역(도),주소,영업시간,휴무일,연락처,주종,주력제품1,주력제품1 도수,주력제품2,주력제품2 도수,주력제품3,주력제품3 도수,여행지1(종류),여행지2(종류),여행지3(종류),철학,page
술빚는전가네,경기도,경기도 포천시 영북면 산정호수로 335,10:00-20:00,무작위,031-532-9708,"막걸리, 증류주",동정춘막걸리(탁주),6%,주홍춘(탁주),10%,전가네솔잎주(증류주),30%,얼리빈스(카페),명가쌍용해장국(식당),산비탈순두부(식당),"술은 음식이고, 음식이기 때문에 맛있어야 한다",https://www.sooldoga.com/
술샘,경기도,경기도 용인시 처인구 양지면 죽양대로 2298-1,09:00-18:00,"토, 일",070-4218-5225,증류주,이화주(탁주),8%,미르25(증류주),25%,여우목(증류주),21%,용인자연휴양림(여행),백남준아트센터(여행),로스트앤베이크(카페),"신(新) 나는 술, 신(信)나는 샘",https://sulseam.com/index.php
술아원,경기도,경기도 여주시 점봉길 93-12,10:00-17:00,"토, 일",070-8776-0007,증류주,술아손막걸리(탁주),8%,매화주(약주),15%,순곡주(약주),20%,대신식당(식당),두부고을묵대감집(식당),카페트로이(카페),한국의 포트와인,https://soolawon.co.kr/
오산양조,경기도,경기도 오산시 시장길 63 오산양조,09:00-18:00,일,031-374-2139,막걸리,독산53(증류주),53%,독산30(증류주),30%,오산막걸리12개입(탁주),6%,독산성(여행),오산 오색시장(여행),오산할머니집(식당),옛 오산 막걸리의 명맥을 잇는 술,https://www.osansool.com/
좋은술,경기도,경기도 평택시 오성면 숙성뜰길 108 1층,09:00-18:00,일,031-681-8929,"막걸리, 증류주",택이(탁주),8%,천비향(약주),15%,어차피(증류주),24%,카페아카이브(카페),"얼큰칼국수랑시골밥상 (식당)",그래비티카페(카페),"수천 년 동안 내려온 최고급 주조법을 복원해 만든 우리 술이 많은 분들의 식탁에서 오랫동안 기억되길 바라는 마음",http://cheonbihyang.com/
예술,강원도,강원도 춘천시 신동면 풍류1길 6-3,10:00-17:00,연중무휴,033-435-1120,"막걸리, 증류주",만강에비친달(탁주),10%,동몽(약주),17%,무작(증류주),53%,가령폭포(여행),수타사(여행),카페더웨이(카페),예로부터 내려온 술,http://ye-sul.com/index.html
대강양조장,충청도,충청북도 단양군 대강면 대강로 60 대강양조장,10:00-22:00,,043-422-0077,막걸리,소백산생막걸리(탁주),6%,청동동주(약주),10%,복분자생막걸리(탁주),6%,고향집두부(식당),소백산별미식당(식당),옛날맛집(식당),"술의 근원이 되는 물이 좋고,
술 한잔 하면서 바라보는 산세가 좋고.",http://www.krwine.com/index.html
중원당,충청도,충청북도 충주시 중앙탑면 청금로 112-10,09:00-18:00,"토, 일",043-842-5005,약주,청명주(약주),17%,호호(탁주),9%,청명주살균주(약주),17%,탄금대(여행),중앙탑공원(여행),청금산장(식당),"청명주는 금탄의 물이 아니면 이룰 수 없으며
다른 지방에서는 모방해도 이와 같지 않다.",http://www.xn--v42bo8x7wc.com/main/index.php
이원양조장,충청도,충청북도 옥천군 이원면 묘목로 113,,,043-732-2177,막걸리,아이원생막걸리(탁주),,,,,,정지용생가,충의사,,"시인의 마을, 장인의 양조장",http://www.iwonwine.com/new/index.php
신평양조장,충청도,충청남도 당진시 신평면 신평로 813 ,09:00-18:00,일,041-362-6080,막걸리,백련막걸리(탁주),,백련맑은술(약주),,,,삽교천해상관광공원,,,오늘도 인생의 향기를 담은 아름다운 술이 익어가고 있습니다.,https://www.koreansul.co.kr/shop/main/index.php
